,Accident Ref.,Borough,Easting,Northing,Vehicle Type
1634,0111CW11347,WESTMINSTER,528900,181530,01 Pedal Cycle
1649,0111CW11368,WESTMINSTER,528990,180290,01 Pedal Cycle
1651,0111CW11369,WESTMINSTER,528560,179930,01 Pedal Cycle
1654,0111CW11371,WESTMINSTER,530080,180230,01 Pedal Cycle
1656,0111CW11372,WESTMINSTER,529070,181240,01 Pedal Cycle
1659,0111CW11375,WESTMINSTER,526480,181010,01 Pedal Cycle
1662,0111CW11377,WESTMINSTER,527600,182560,01 Pedal Cycle
1665,0111CW11380,WESTMINSTER,527030,181520,01 Pedal Cycle
1668,0111CW11384,WESTMINSTER,525740,181460,01 Pedal Cycle
1676,0111CW11391,WESTMINSTER,527310,181580,01 Pedal Cycle
1678,0111CW11392,WESTMINSTER,530410,180330,01 Pedal Cycle
1688,0111CW11400,WESTMINSTER,529640,179320,01 Pedal Cycle
1696,0111CW11404,WESTMINSTER,530320,180640,01 Pedal Cycle
1697,0111CW11405,WESTMINSTER,527210,181790,01 Pedal Cycle
1700,0111CW11408,WESTMINSTER,528590,179510,01 Pedal Cycle
1702,0111CW11409,WESTMINSTER,530000,180370,01 Pedal Cycle
1710,0111CW11419,WESTMINSTER,526760,182010,01 Pedal Cycle
1712,0111CW11422,WESTMINSTER,525420,182400,01 Pedal Cycle
1716,0111CW11426,WESTMINSTER,528780,182180,01 Pedal Cycle
1723,0111CW11437,WESTMINSTER,529440,179950,01 Pedal Cycle
1725,0111CW11438,WESTMINSTER,528380,181290,01 Pedal Cycle
1738,0111CW11460,WESTMINSTER,525320,182340,01 Pedal Cycle
1742,0111CW11463,WESTMINSTER,529720,180350,01 Pedal Cycle
1755,0111CW11482,WESTMINSTER,527420,179670,01 Pedal Cycle
1756,0111CW11483,WESTMINSTER,529580,181330,01 Pedal Cycle
1772,0111CW11497,WESTMINSTER,528210,182180,01 Pedal Cycle
1775,0111CW11507,WESTMINSTER,530010,180370,01 Pedal Cycle
1777,0111CW11508,WESTMINSTER,527600,182560,01 Pedal Cycle
1782,0111CW11519,WESTMINSTER,530180,179660,01 Pedal Cycle
1783,0111CW11520,WESTMINSTER,528140,182420,01 Pedal Cycle
